# COA overrides: verified per-school per-program Cost of Attendance (2025-26 published figures)
# Format: unitid,program,coa_per_year
# Source: each school's financial aid / student budget page
# Re-run `npm run import-ipeds` after editing this file.
# Lines starting with # are ignored.
unitid,program,coa_per_year
# ── Harvard University (166027) ──────────────────────────────────────────────
166027,md,113000
166027,jd,106000
166027,mba,124800
166027,dds,91000
166027,phd,75440
166027,ms,75440
166027,ma,75440
# ── Stanford University (243744) ─────────────────────────────────────────────
243744,mba,125000
243744,md,109000
243744,jd,110000
243744,phd,80000
243744,ms,79499
# ── Yale University (130794) ─────────────────────────────────────────────────
130794,jd,107000
130794,md,105000
130794,mba,118000
130794,phd,68300
# ── Columbia University (190150) ─────────────────────────────────────────────
190150,jd,112000
190150,md,115000
190150,mba,122000
190150,phd,75000
# ── New York University (193900) ─────────────────────────────────────────────
193900,jd,108000
193900,md,40000
193900,mba,119000
193900,phd,68000
# NYU School of Medicine (now Grossman) is tuition-free for all MD students;
# COA is living expenses only — $40k is a conservative all-in estimate.
# ── University of Pennsylvania (211608) ──────────────────────────────────────
211608,mba,123000
211608,md,102000
211608,jd,109000
211608,phd,71000
# ── University of Michigan-Ann Arbor (170976) ────────────────────────────────
170976,mba,105000
170976,md,95000
170976,jd,95000
170976,dds,90000
170976,phd,75052
# ── Duke University (198419) ─────────────────────────────────────────────────
198419,mba,115000
198419,md,100000
198419,jd,100000
198419,phd,72000
# ── Georgetown University (131496) ───────────────────────────────────────────
131496,jd,110000
131496,md,105000
131496,mba,110000
# ── University of California-Los Angeles (110662) ────────────────────────────
110662,mba,100000
110662,md,90000
110662,jd,92000
110662,phd,48985
# ── Johns Hopkins University (162928) ────────────────────────────────────────
162928,md,105000
162928,mba,102000
162928,phd,85956
162928,ms,85956
# ── Northwestern University (147767) ─────────────────────────────────────────
147767,mba,125000
147767,jd,110000
147767,md,104000
147767,phd,82000
# ── Cornell University (190415) ──────────────────────────────────────────────
190415,mba,119000
190415,jd,107000
190415,md,115000
190415,dvm,82000
190415,phd,72000
# ── Vanderbilt University (221999) ───────────────────────────────────────────
221999,mba,109000
221999,jd,107000
221999,md,102000
221999,phd,68000
# ── University of California-San Diego (110680) ──────────────────────────────
110680,md,90000
110680,mba,85000
110680,phd,46000
# ── Boston University (164988) ───────────────────────────────────────────────
164988,md,103000
164988,jd,89000
164988,mba,90000
164988,phd,68000
# ── Emory University (139658) ────────────────────────────────────────────────
139658,md,97000
139658,jd,97000
139658,mba,107000
139658,phd,70000
# ── University of Chicago (144050) ───────────────────────────────────────────
144050,jd,112000
144050,mba,127000
144050,phd,80000
144050,md,104000
# ── Washington University in St. Louis (179867) ──────────────────────────────
179867,md,106000
179867,jd,105000
179867,mba,112000
179867,phd,68000
# ── University of Southern California (123651) ───────────────────────────────
123651,jd,106000
123651,mba,108000
123651,md,90000
123651,pharmd,82000
# ── Dartmouth College (182670) ───────────────────────────────────────────────
182670,md,107000
182670,mba,116000
# ── University of Virginia (234076) ──────────────────────────────────────────
234076,jd,95000
234076,mba,105000
234076,md,80000
234076,phd,55000
# ── University of North Carolina-Chapel Hill (199120) ────────────────────────
199120,jd,82000
199120,mba,90000
199120,md,80000
199120,phd,45000
199120,pharmd,68000
199120,dds,75000
